      100000   58.3157349      -2.32597208    
      200000   58.3284149      -2.44572878    
      300000   58.4613380      -2.51745749    
      400000   58.1697540      -2.28684092    
      500000   58.3315125      -2.29821157    
      600000   58.3516350      -2.35237265    
      700000   58.2493820      -2.36414909    
      800000   57.9955635      -2.13214302    
      900000   57.6730843      -1.86952865    
     1000000   57.6589241      -1.74709296    
     1100000   57.4336052      -1.56188250    
     1200000   57.6027222      -1.76052678    
     1300000   57.7583656      -1.88146770    
     1400000   57.5460052      -1.66600847    
     1500000   57.4621048      -1.55498099    
     1600000   58.0315132      -2.13318586    
     1700000   58.1007805      -2.13051105    
     1800000   58.5500984      -2.56230617    
     1900000   58.2736702      -2.33497930    
     2000000   57.9932861      -2.07473874    
     2100000   57.7159462      -1.83580756    
     2200000   58.0275726      -2.10681701    
     2300000   58.0658379      -2.10213065    
     2400000   58.1670837      -2.29528022    
     2500000   57.9293633      -2.02617168    
     2600000   58.2088890      -2.23177266    
     2700000   58.0252190      -2.10895753    
     2800000   57.9264145      -2.04889846    
     2900000   57.9487724      -2.04371476    
     3000000   57.8653946      -2.03240752    
     3100000   57.8734512      -2.02293992    
     3200000   58.1336098      -2.20203543    
     3300000   58.3550949      -2.46420884    
     3400000   58.3094711      -2.41242647    
     3500000   58.2815514      -2.33615494    
     3600000   58.4073143      -2.41010904    
     3700000   57.9997978      -2.07764840    
     3800000   58.0702705      -2.18785834    
     3900000   58.1324768      -2.29215407    
     4000000   58.0526581      -2.15834522    
     4100000   58.1743126      -2.32222772    
     4200000   58.2918510      -2.33635998    
     4300000   58.0526810      -2.12800527    
     4400000   57.9986992      -2.09387422    
     4500000   57.9591599      -1.99944282    
     4600000   57.7214470      -1.80114031    
     4700000   57.9973412      -2.09697676    
     4800000   58.0115662      -2.14504075    
     4900000   57.9847565      -2.15297675    
     5000000   58.1407967      -2.24996281    
     5100000   57.7647476      -1.78441250    
     5200000   58.0290604      -2.09924245    
     5300000   58.1229324      -2.12962508    
     5400000   58.0293732      -2.11823797    
     5500000   57.8254471      -1.83065474    
     5600000   57.7547188      -1.85581303    
     5700000   57.7557220      -1.81571925    
     5800000   57.7527809      -1.83253813    
     5900000   57.9761734      -2.01100039    
     6000000   58.0276642      -2.15069652    
     6100000   57.9681053      -2.04548478    
     6200000   58.0403786      -2.09055924    
     6300000   57.9970016      -2.15990543    
     6400000   57.9446678      -2.02144337    
     6500000   58.0678902      -2.13384604    
     6600000   58.2625694      -2.34564424    
     6700000   58.0077553      -2.10780811    
     6800000   57.8486977      -1.94614899    
     6900000   57.9270897      -2.04080987    
     7000000   58.1412888      -2.21411180    
     7100000   57.9795609      -2.07902336    
     7200000   57.8778305      -1.99312186    
     7300000   57.9431496      -2.07270288    
     7400000   58.3168068      -2.39913797    
     7500000   58.4622841      -2.58019710    
     7600000   58.1036720      -2.11165404    
     7700000   58.4090118      -2.57259226    
     7800000   58.1932716      -2.23029661    
     7900000   58.1685028      -2.26866722    
     8000000   58.2314491      -2.25488901    
     8100000   58.1420517      -2.24123979    
     8200000   57.6854286      -1.83904755    
     8300000   58.0393410      -2.12880182    
     8400000   57.9759331      -2.03624725    
     8500000   57.5975304      -1.78221416    
     8600000   57.7994766      -1.83218586    
     8700000   57.9533157      -2.02640319    
     8800000   57.5540276      -1.66361654    
     8900000   57.6722374      -1.79564345    
     9000000   57.7983017      -1.84095728    
     9100000   57.7090530      -1.83691394    
     9200000   57.7285576      -1.83435977    
     9300000   57.6798019      -1.75748956    
     9400000   57.9849281      -2.08943534    
     9500000   57.7239494      -1.85327494    
     9600000   58.1529350      -2.21224928    
     9700000   58.0443878      -2.08744216    
     9800000   57.6702271      -1.74547803    
     9900000   57.9241409      -2.00065660    
    10000000   57.8712997      -2.00321603    
